n,density,wp_colors,wp_time_ms,ds_colors,ds_time_ms,bt_colors,bt_time_ms,bt_success,sa_colors,sa_time_ms
10,0.2,2.7,0.03486998612061143,2.7,0.04829999525099993,2.7,0.04270999343134463,1.0,2.7,10.513850004645064
20,0.2,3.7,0.05504000000655651,3.6,0.11015000636689365,3.7,0.08978000259958208,1.0,3.7,26.22238000622019
30,0.2,5.0,0.0658300006762147,4.3,0.20991000928916037,5.0,0.16448000678792596,1.0,5.0,50.9883500111755
50,0.2,6.4,0.1314600056502968,5.9,0.7022899924777448,6.4,0.5650299950502813,1.0,6.4,151.1231099953875
75,0.2,8.0,0.20374999148771167,7.1,1.575680001405999,,,,,
100,0.2,9.8,0.3514000098221004,8.6,3.106360009405762,,,,,
150,0.2,12.7,0.6431600020732731,11.3,7.303420006064698,,,,,
10,0.5,4.3,0.03287000581622124,4.2,0.05492001073434949,4.3,0.05300000193528831,1.0,4.3,19.332450005458668
20,0.5,6.2,0.06280000088736415,5.8,0.220289989374578,6.2,0.18829000764526427,1.0,6.2,58.91818000236526
30,0.5,8.5,0.09290999732911587,7.7,0.4408899985719472,8.5,0.4405299958307296,1.0,8.5,112.86161000025459
50,0.5,12.3,0.1576900016516447,10.8,1.4682399982120842,12.3,1.3689400162547827,1.0,12.3,315.8866400073748
75,0.5,16.0,0.326850003330037,14.7,4.803730017738417,,,,,
100,0.5,19.8,0.4576199979055673,18.5,10.580959985964,,,,,
150,0.5,27.2,1.1960700037889183,24.8,34.16377998655662,,,,,
10,0.8,5.8,0.03634999739006162,5.8,0.0743200071156025,5.8,0.0840499997138977,1.0,5.8,23.446040000999346
20,0.8,10.1,0.06764000281691551,9.5,0.29626001487486064,10.1,0.32159999245777726,1.0,10.1,82.1389300050214
30,0.8,13.2,0.10085999965667725,12.4,0.7830900140106678,13.2,0.8326400013174862,1.0,13.2,180.20509000634775
50,0.8,20.1,0.2047100046183914,18.7,2.8299500001594424,20.1,3.060250001726672,1.0,20.1,568.7581899925135
75,0.8,28.0,0.46538999886251986,26.1,10.90138999861665,,,,,
100,0.8,34.9,0.7811900053638965,32.8,25.15908000059426,,,,,
150,0.8,47.6,1.7319200036581606,45.4,69.97682000510395,,,,,
